iter	MultiClass
0	3.909947392
1	3.823690878
2	3.720172234
3	3.645479337
4	3.584926319
5	3.535946079
6	3.495436357
7	3.461509517
8	3.406123602
9	3.358963739
10	3.321096499
11	3.287817473
12	3.257319195
13	3.226299085
14	3.198044314
15	3.173119611
16	3.153566288
17	3.135166995
18	3.116670873
19	3.090904283
20	3.064698112
21	3.039001071
22	3.012350322
23	2.985469891
24	2.969549408
25	2.953922742
26	2.9365617
27	2.920982928
28	2.905894129
29	2.890810744
30	2.882499525
31	2.862612404
32	2.848967287
33	2.84098237
34	2.831136471
35	2.81874721
36	2.811956719
37	2.799354643
38	2.791687282
39	2.783328586
40	2.773230308
41	2.764085739
42	2.756169122
43	2.746414221
44	2.735718314
45	2.730674276
46	2.725062803
47	2.718717932
48	2.712899058
49	2.705545088
50	2.698158217
51	2.69379198
52	2.684611803
53	2.679179827
54	2.674131833
55	2.668887059
56	2.661231984
57	2.655590317
58	2.651101846
59	2.646716035
60	2.643559841
61	2.639167366
62	2.631671589
63	2.626313536
64	2.620475505
65	2.615629081
66	2.610333082
67	2.605549753
68	2.592582227
69	2.582661156
70	2.572265521
71	2.562968733
72	2.556294021
73	2.549580368
74	2.542840686
75	2.536953721
76	2.532197462
77	2.527188824
78	2.526988087
79	2.52140181
80	2.517413517
81	2.513367542
82	2.508889483
83	2.506857125
84	2.501674405
85	2.495909463
86	2.492301612
87	2.48762469
88	2.48257274
89	2.47776713
90	2.471353542
91	2.467208657
92	2.463114164
93	2.458843297
94	2.454702368
95	2.452581094
96	2.447376926
97	2.443229333
98	2.439291015
99	2.435503875
100	2.42818343
101	2.418760453
102	2.410347408
103	2.399945943
104	2.392583851
105	2.384598518
106	2.375852924
107	2.369030574
108	2.362097443
109	2.356975527
110	2.349346064
111	2.342279248
112	2.334268718
113	2.329462275
114	2.323451618
115	2.318653088
116	2.311140444
117	2.308612075
118	2.30377523
119	2.298757638
120	2.294896991
121	2.290915985
122	2.285612906
123	2.28216706
124	2.276337775
125	2.27345041
126	2.267560321
127	2.262853205
128	2.259390493
129	2.257657158
130	2.254210687
131	2.250407304
132	2.24501052
133	2.24294547
134	2.238848269
135	2.236686182
136	2.230926863
137	2.227259874
138	2.222965893
