iter	Passed	Remaining
0	217	434296
1	431	431500
2	647	430771
3	860	429570
4	1074	428814
5	1290	428975
6	1510	429972
7	1725	429653
8	1945	430362
9	2171	432059
10	2397	433513
11	2628	435502
12	2850	435757
13	3086	437794
14	3320	439450
15	3555	440868
16	3787	441840
17	4014	442060
18	4250	443168
19	4491	444671
20	4785	450991
21	5047	453851
22	5313	456718
23	5559	457740
24	5800	458223
25	6036	458285
26	6276	458661
27	6617	466086
28	6868	466845
29	7215	473787
30	7451	473306
31	7750	476677
32	8013	477654
33	8245	476802
34	8466	475348
35	8752	477517
36	8985	476731
37	9297	480025
38	9521	478765
39	9801	480265
40	10102	482695
41	10349	482480
42	10581	481593
43	10850	482350
44	11105	482451
45	11334	481453
46	11569	480742
47	11802	479962
48	12051	479843
49	12300	479738
50	12539	479217
51	12761	478078
52	12997	477466
53	13233	476902
54	13487	476962
55	13715	476124
56	14102	480715
57	14363	480920
58	14628	481239
59	14967	483944
60	15200	483163
61	15454	483062
62	15819	486382
63	16084	486543
64	16350	486730
65	16610	486751
66	16863	486526
67	17121	486445
68	18165	508374
69	20328	560487
70	21409	581683
71	21768	582914
72	22168	585192
73	22485	585243
74	23441	601675
75	23675	599363
76	24009	599606
77	24290	598532
78	24297	590837
79	25209	605027
80	25474	603513
81	25757	602480
82	25997	600455
83	26238	598485
84	26574	598705
85	27108	603320
86	27366	601740
87	27831	604692
88	28108	603534
89	28373	602154
90	28672	601500
91	28939	600172
92	29165	598053
93	29409	596317
94	29676	595084
95	29939	593804
96	30177	592044
97	30469	591350
98	30846	592319
99	31141	591694
100	31442	591189
101	31741	590647
102	32063	590525
103	32352	589818
104	32641	589096
105	32923	588279
106	33237	588028
107	33535	587493
108	33842	587114
109	34105	585995
110	34385	585175
111	34773	586179
112	35136	586746
113	35439	586299
114	35668	584646
115	35938	583694
116	36261	583600
117	36505	582235
118	36774	581289
119	37050	580460
120	37294	579143
121	37614	579015
122	37845	577535
123	38162	577368
124	38485	577279
125	38750	576341
126	39033	575663
127	39319	575044
128	39646	575027
129	39882	573696
130	40121	572421
131	40432	572186
132	40686	571138
133	40919	569815
134	41269	570134
135	41533	569251
136	41881	569530
137	42201	569417
138	42515	569219
139	42763	568149
140	42994	566859
141	43222	565542
142	43508	565004
143	43810	564667
144	44049	563523
145	44291	562437
146	44565	561769
147	44789	560476
148	45033	559445
149	45281	558465
150	45512	557305
151	45744	556158
152	45961	554839
153	46242	554306
154	46489	553379
155	46736	552452
156	47061	552442
157	47347	551983
158	47661	551853
159	47891	550756
160	48181	550343
161	48472	549957
162	48762	549551
163	49031	548918
164	49395	549337
165	49657	548624
166	49941	548156
167	50192	547338
168	50507	547216
169	50763	546456
170	51098	546539
171	51487	547203
172	51743	546451
173	51989	545590
174	52278	545185
175	52627	545410
176	52966	545520
177	53195	544508
178	53498	544245
179	53756	543538
180	54008	542771
181	54309	542496
182	54548	541605
183	54845	541296
184	55128	540854
185	55391	540220
186	55660	539637
187	55906	538843
188	56146	537994
189	56578	538986
190	56880	538729
191	57115	537833
192	57380	537237
193	57695	537103
194	57991	536795
195	58218	535851
196	58474	535178
197	58743	534625
198	58996	533930
199	59292	533635
200	59593	533380
201	59898	533155
202	60160	532552
203	60434	532060
204	60670	531239
205	61001	531249
206	61302	530991
207	61604	530747
208	61905	530494
209	62192	530112
210	62488	529817
211	62768	529385
212	63052	528990
213	63319	528455
214	63573	527806
215	63850	527353
216	64186	527396
217	64453	526860
218	64758	526641
219	64991	525842
220	65271	525420
221	65555	525032
222	65776	524146
223	66054	523720
224	66300	523041
225	66542	522330
226	66923	522707
227	67173	522067
228	67420	521404
229	67776	521585
230	68185	522168
231	68491	521954
232	68803	521787
233	69170	522033
234	69428	521451
235	69715	521091
236	69933	520220
237	70369	520974
238	70637	520468
239	71016	520788
240	71299	520400
241	71542	519719
242	71853	519531
243	72163	519343
244	72479	519189
245	72767	518840
246	73065	518559
247	73364	518284
248	73688	518188
249	73955	517686
250	74250	517386
251	74544	517077
252	74871	517000
253	75218	517051
254	75529	516858
255	75863	516816
256	76199	516794
257	76529	516721
258	76813	516342
259	77100	515980
260	77397	515685
261	77715	515533
262	77953	514845
263	78299	514876
264	78598	514598
265	78911	514410
266	79221	514197
267	79522	513926
268	79832	513717
269	80167	513665
270	80436	513191
271	80719	512807
272	80972	512235
273	81285	512038
274	81588	511780
275	81906	511617
276	82150	510991
277	82452	510729
278	82750	510441
279	83003	509879
280	83319	509700
281	83631	509496
282	84022	509773
283	84266	509161
284	84554	508808
285	84871	508634
286	85170	508355
287	85535	508463
288	85822	508107
289	86168	508099
290	86437	507636
291	86785	507633
292	87139	507666
293	87449	507445
294	87805	507483
295	88104	507197
296	88404	506911
297	88757	506930
298	89073	506736
299	89467	506981
300	89871	507282
301	90223	507282
302	90554	507163
303	90891	507080
304	91222	506958
305	91505	506568
306	91813	506317
307	92155	506256
308	92505	506238
309	92816	505997
310	93148	505876
311	93433	505496
312	93710	505080
313	94032	504899
314	94276	504305
315	94561	503929
316	94879	503727
317	95181	503443
318	95462	503048
319	95847	503197
320	96148	502910
321	96447	502605
322	96680	501959
323	97030	501922
324	97332	501636
325	97633	501344
326	98032	501553
327	98351	501351
328	98648	501038
329	98913	500561
330	99229	500346
331	99513	499964
332	99850	499849
333	100211	499858
334	100560	499799
335	100914	499766
336	101228	499535
337	101497	499081
338	101780	498693
339	102151	498741
340	102512	498734
341	102829	498511
342	103178	498445
343	103569	498578
